Run;bestKey;bestValue;obj1;obj2;algName;problemName;fitness
1;0.9998681141323028_6.854033610587079E-7_0.2210700277159968_0.6731373186288747_0.49088234970401_0.5687633296236986_0.7292278634133431_0.1778397036846871_0.18523912751223826_0.2004804393578815_0.19629640236160673_0.2401443270835863;200;0.8904747041316795;0.19999999999999996;NSGAII;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;0.5386807233693951
1;0.7543266840912057_0.7987630710984565_0.05662782280090228_0.5770887906889474_0.18782965790700998_0.3420834185673156_0.7157062882022897_0.16540742828367308_0.17039297755873564_0.24216924477642132_0.2769345716983301_0.14509577768283982;200;0.646720974992316;0.0;MOMBI2;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;0.3214422533455427
1;0.9223441860566972_0.03315942713999459_0.5600020599906482_0.6464720165941171_0.052620853885651464_0.6208530501490045_0.6463861582399998_0.16239809073931963_0.24435897993072736_0.2480575758057968_0.1504201611712574_0.194765192352899;200;0.7170081583607588;0.3999999999999999;MOEAD;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;0.5582132364854752
1;0.9997681701399954_5.4007736701638086E-8_0.7043893616566234_0.4818127637263652_0.38632027605667413_0.8239780096884011_0.7567450527350639_0.1747941941446982_0.20652978722248785_0.2016427743074823_0.23102090854987442_0.18601233577545723;200;0.8281817971384511;-0.19999999999999996;SPEA2;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;0.2791729168260532
2;0.9832829338133546_2.3757342822542164E-5_0.3062232995299827_0.26435454457316926_0.2557461641295044_0.7395062135388522_0.7220924975646424_0.17893312951846124_0.22908862468155708_0.22727635591940093_0.11652090659636623_0.24818098328421448;200;0.7217784502889601;-0.19999999999999996;NSGAII;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;0.2542787478864382
2;0.8426278998992123_0.615739401436239_0.3850295293883843_0.6992868456307813_0.5936279604870004_0.4461665266284777_0.6345866920374393_0.18560705869494218_0.18544157899686292_0.15538494580346424_0.24548272906435178_0.22808368744037885;179;0.7713834826300017;0.3999999999999999;MOMBI2;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;0.5661458355433022
2;0.881011109007988_0.6513824018656452_0.3039200081958018_0.4372463508338779_0.8898091519159995_0.713579257852683_0.7544359984728819_0.22818741623434022_0.21477626905079136_0.21815122916518653_0.16712240724719907_0.17176267830248282;200;0.7885419033798509;0.0;MOEAD;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;0.40768994171625467
2;0.9998579650278537_0.03227305337645098_0.018340913291723843_0.5299760872264696_0.59467312082591_0.3354165482470852_0.5718820040749577_0.22333869441852336_0.17866437747267838_0.21943558325896673_0.22185417022823525_0.1567071746215961;200;0.7723056886108703;-1.0;SPEA2;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.1409279994125809
3;0.9854350983375634_1.2358809453839735E-5_0.12495194655591331_0.3809254614294909_0.5408574646652016_0.6574045472735243_0.7564568460165788_0.22213271930943065_0.23437670787625006_0.24478748885068408_0.25649659714269174_0.042206486820943495;200;0.6963406085354267;-0.4;NSGAII;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;0.1416625325353199
3;0.9221098805439717_0.917992362246056_0.5988652864987054_0.18496498272041026_0.495440420523865_0.6570014012323244_0.541848595462284_0.19815457680810758_0.2071479917698389_0.24953121554075733_0.01225263740671687_0.3329135784745792;200;0.5277904770158215;-0.8;MOMBI2;NormSystem_obj_2_conf_200_10_5_0.05_10_5000;-0.13293232779006658
