Run;bestKey;bestValue;obj1;obj2;obj3;obj4;obj5;algName;problemName;fitness
1;0.902674017851871_0.6742447515815823_0.3678547575314594_0.04612467936198347_0.350467429223071_0.5016918391439373_0.03127455183261996_0.011538256238427996_0.007049383986825635_0.012072241294371913_0.4731229153313342_0.4962172031490403;23;-0.4452364832499325;-0.4;0.8634568134038558;-0.08243926371001689;0.6321452424685405;NSGAII;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-0.49621720314904033
1;0.9784741287712165_0.9570011134176201_6.790785157820575E-4_0.010788146922830552_0.9281459219941165_0.039691174360219295_0.8963499671745354_0.3358197960047813_0.42315808064311977_0.023798452107632838_0.11949804201499035_0.09772562922947566;40;0.28227614789782707;-0.4;0.3590204654541747;0.4425061540966517;0.9993209214842179;MOMBI2;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-0.37730548120799196
1;0.9458740382881929_0.28387669472135935_4.8849029543102454E-5_0.15391840236446805_0.6396846783954181_0.759825239058503_0.786855186270855_0.26692287033848816_0.28022780898492833_0.27837016887999044_0.0317640728450165_0.1427150789515765;28;0.5724825367120174;-1.0;0.2911113688758298;0.09088987561665689;0.999951150970457;MOEAD;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-4.8849029543102454E-5
1;0.9445994376829223_0.4030381828284354_0.5952853643838228_0.0037348288103645766_0.016709123861023953_0.44517541114132875_0.005734569644869875_0.003455099259472684_0.021999266647109838_0.361270441718804_0.3487947442069387_0.2644804481676748;43;-0.016514854540878865;-1.0;0.6098591044337317;0.3518184969816072;0.40471463561617715;SPEA2;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-0.01037284023163217
2;0.9659540963076244_0.978410834953352_0.04855028897698127_0.0012166844706603328_0.24684778002229527_0.11338526531913423_0.958402564632393_0.0583262034309959_0.05718428990310932_0.3272887627822419_0.4861884427768356_0.07101230110681735;24;0.17180057192448528;-0.8;0.48618480403412456;0.28851475997373044;0.9514497110230187;NSGAII;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-0.0012166844706603328
2;0.9056419343691101_0.34403124431224585_3.447372754811684E-5_3.3611211055204274E-4_0.30073644956450263_0.9106797647011786_1.6990719319068563E-4_0.14832044305022563_0.24159720408490054_0.23854939127304356_0.23873596969968128_0.13279699189214894;24;0.05719950564765419;-0.8;0.6116518873216417;0.04792977957489064;0.9999655262724518;MOMBI2;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-3.3611211055204274E-4
2;0.9979914203757115_0.2820044296101865_0.013542321247773274_0.5234074732947593_0.8364952247169736_0.9671623851504942_1.6420106406803017E-4_0.004681495577836138_6.671532924026991E-4_0.43326295498211004_0.20478854657489978_0.3565998495727513;23;-0.5717463781784611;-0.6;0.9737205129252015;0.18234096092705332;0.9864576787522267;MOEAD;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-1.642010640680301E-4
2;0.9958008920631919_0.9971589924251633_5.1147743348189945E-6_0.002454194623593059_0.7954000564842219_0.21633039006990573_0.0014934355566547815_0.004738899908396591_5.895820679172679E-4_0.39219015492934545_0.35847824335621264_0.24400311973812808;44;-0.1327250229615906;-0.19999999999999996;0.6680930633085618;-0.11635908884905699;0.9999948852256652;SPEA2;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-0.001452298321623779
3;0.9696820995321368_0.5004007317303156_0.48575459767861623_0.01667404042493567_0.4473921764003209_0.16316400807403802_0.512782255761316_0.692538113836699_7.430816550754685E-4_0.11355386870198755_0.1438937533311618_0.04927118247507622;24;0.5934668777866032;-1.0;0.30998933167935655;0.017071821159520138;0.5142454023213838;NSGAII;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-0.692538113836699
3;0.9959476061146756_0.6556948763659274_0.00216463257548646_5.969939055738283E-4_0.002273403648994607_0.9040758289067319_2.0408784783798024E-5_0.021238713770250432_0.22918116622780016_0.30480569926340645_0.20782066685921285_0.23695375387933;26;-0.19297046325687073;-0.4;0.7424012675706968;0.31848090343354823;0.9978353674245135;MOMBI2;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-5.969939055738283E-4
3;0.9368983948966234_0.5759519238450946_3.62166848598606E-5_0.9983425873456098_0.16466574098635609_6.541858332210191E-5_0.6243092711983291_0.0012840041339256556_0.41352717816672985_5.516430509000925E-4_0.18305339473341112_0.4015837799150333;36;0.33844273855058005;-0.4;0.36402252423584164;-0.15564129933384155;0.9999637833151401;MOEAD;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-5.000647024480785E-5
3;0.9785441482832409_0.922214633633678_0.0010995943694659394_0.18230759127296536_0.3628244781821384_0.005377084553253725_0.987293451702558_0.03215990390914753_0.42963182022532276_0.007295283975300191_0.19132829481802602_0.33958469707220346;26;0.44110958806153333;0.19999999999999996;0.3578132951153657;0.4035174296504595;0.9989004056305341;SPEA2;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-0.005377084553253725
4;0.9867543389869008_0.19870300299838192_0.08543658239643327_0.11415260024836502_0.3860865823910682_0.033276584985354726_0.9739471104525114_0.018313470434234567_0.013327229714505211_0.22361401283371554_0.1621387435035238_0.5826065435140209;36;0.39302550090761557;0.0;0.33611514113077173;-0.1165989720825243;0.9145634176035667;NSGAII;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-0.2621640677056323
4;0.8526524681212667_0.8700121826414703_0.018151424187406402_0.16898263805426134_0.08054069270173571_0.24737436923086215_5.980139490245682E-6_0.011933577833166202_0.09732893009030825_0.35925289357890144_0.16426267427481794_0.36722192422280614;26;-0.06353519397765228;-0.19999999999999996;0.6484241761256466;0.1440437695305699;0.9818485758125935;MOMBI2;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-0.24737436923086226
4;0.1911399945903361_0.03349783928413974_0.677916795188995_0.12022999754946587_0.00627163520025642_0.9843222005444744_6.841160769796139E-5_0.001255519365246102_0.029337310090865976_0.7171750161163056_0.027050852423223425_0.22518130200435896;48;-0.5004123849596467;-0.6;0.8889930253599585;0.7342123881439026;0.32208320481100505;MOEAD;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-0.35862171386200264
4;0.9938305980713857_0.7018250703661467_0.02113076368219391_0.9543455107720691_0.27094397378571716_0.36636881652970765_2.8523337285098096E-5_0.003954811959481487_0.037554874560423994_0.5189473752848074_0.011575765344766177_0.4279671728505211;26;-0.45308153798085016;-0.6;0.871351241542078;0.14112595131823058;0.9788692363178061;SPEA2;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-2.8523337285098096E-5
5;0.9872578076025645_0.9800735234035388_0.19104765481562233_0.24975843572546774_0.8175182077852674_0.042376535194423096_0.9844870033208857_0.07242697791766176_0.5947231124072688_0.06473795737432457_0.048082276519002064_0.22002967578174273;26;0.25748514991755145;0.19999999999999996;0.3926835702990805;0.02396227717419289;0.8089523451843776;NSGAII;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-0.594723112407269
5;0.9878305914652432_0.0623062586674315_8.851506646777524E-5_0.48060884778045515_0.1794579465458288_0.8722498440846451_0.008593638923706542_0.022059401659640626_0.07642248298246476_0.4139973045929654_0.38212099956730533_0.10539981119762369;23;0.0528665022102508;-0.4;0.5604783406311007;0.3401766407294619;0.9999114849335322;MOMBI2;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-0.3821209995673052
5;0.951010155990855_0.8082573319610507_0.0030346757580874684_0.006137217976073951_0.7503402535285386_0.9609014371198014_6.825773996962058E-4_0.010237120242915069_4.992083898154616E-4_0.522673638442525_0.4401928300459941_0.02639720287875032;32;0.36895885220644165;-0.4;0.3798321664221644;0.18371855015463232;0.9969653242419125;MOEAD;NormSystem_obj_5_conf_200_10_5_0.05_10_5000;-0.2204377037228453
